Linux 4.15.0-101-generic (node2) 	06/03/2020 	_x86_64_	(2 CPU)

03:46:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:46:20 AM  all    2.01    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   96.23
03:46:22 AM  all    1.75    0.00    1.00    0.75    0.00    0.25    0.00    0.00    0.00   96.24
03:46:24 AM  all    3.67    0.00    6.11    2.20    0.00    0.49    0.00    0.00    0.00   87.53
03:46:26 AM  all    0.76    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.74
03:46:28 AM  all    3.24    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   95.26
03:46:30 AM  all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.98
03:46:32 AM  all    0.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.75
03:46:34 AM  all    1.26    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   97.47
03:46:36 AM  all    0.75    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.75
03:46:38 AM  all    2.26    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   96.24
03:46:40 AM  all    1.75    0.00    2.00    0.00    0.00    0.25    0.00    0.00    0.00   96.00
03:46:42 AM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
03:46:44 AM  all    1.50    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   97.25
03:46:46 AM  all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:46:48 AM  all    1.51    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   96.48
03:46:50 AM  all    2.01    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   96.48
03:46:52 AM  all    0.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.75
03:46:54 AM  all    1.75    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   96.76
03:46:56 AM  all    0.50    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.75
03:46:58 AM  all    2.49    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   96.01
03:47:00 AM  all    1.77    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   96.97
03:47:02 AM  all    0.75    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.50
03:47:04 AM  all    1.26    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   97.99
03:47:06 AM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
03:47:08 AM  all    2.01    0.00    1.76    0.00    0.00    0.25    0.00    0.00    0.00   95.98
03:47:10 AM  all    1.50    0.00    2.00    0.00    0.00    0.25    0.00    0.00    0.00   96.26
03:47:12 AM  all    0.75    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.50
03:47:14 AM  all    1.50    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   96.99
03:47:16 AM  all    0.50    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.75
03:47:18 AM  all    2.26    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   96.24
03:47:20 AM  all    2.00    0.00    2.00    0.00    0.00    0.25    0.00    0.00    0.00   95.75
03:47:22 AM  all    0.75    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.50
03:47:24 AM  all    1.01    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   97.74
