deployment.apps/iperf3-server-deployment created
service/iperf3-server created
daemonset.apps/iperf3-clients created
Waiting for iperf3 server to start...
Server is running

Client on 192.168.2.10:  Connecting to host iperf3-server, port 5201
Client on 192.168.2.10:  [  4] local 10.48.42.203 port 33030 connected to 10.49.251.117 port 5201
Client on 192.168.2.10:  [  4]  51.00-52.01  sec  73.2 MBytes   611 Mbits/sec   10    647 KBytes       
Client on 192.168.2.10:  [  4]  52.01-53.01  sec  70.6 MBytes   592 Mbits/sec   15    649 KBytes       
Client on 192.168.2.10:  [  4]  53.01-54.01  sec  70.6 MBytes   593 Mbits/sec    0    663 KBytes       
Client on 192.168.2.10:  [  4]  54.01-55.01  sec  69.8 MBytes   586 Mbits/sec   57    666 KBytes       
Client on 192.168.2.10:  [  4]  55.01-56.01  sec  67.5 MBytes   565 Mbits/sec    0    666 KBytes       
Client on 192.168.2.10:  [  4]  56.01-57.00  sec  67.5 MBytes   570 Mbits/sec    0    666 KBytes       
Client on 192.168.2.10:  [  4]  57.00-58.01  sec  75.4 MBytes   629 Mbits/sec    1    691 KBytes       
Client on 192.168.2.10:  [  4]  58.01-59.01  sec  67.5 MBytes   565 Mbits/sec    0    695 KBytes       
Client on 192.168.2.10:  [  4]  59.01-60.00  sec  70.2 MBytes   596 Mbits/sec    1    492 KBytes       
Client on 192.168.2.10:  [  4]  60.00-61.01  sec  69.4 MBytes   579 Mbits/sec    0    527 KBytes       
Client on 192.168.2.10:  [  4]  61.01-62.01  sec  67.5 MBytes   563 Mbits/sec    0    527 KBytes       
Client on 192.168.2.10:  [  4]  62.01-63.02  sec  67.5 MBytes   565 Mbits/sec    0    527 KBytes       
Client on 192.168.2.10:  [  4]  63.02-64.01  sec  67.5 MBytes   570 Mbits/sec    0    724 KBytes       
Client on 192.168.2.10:  [  4]  64.01-65.02  sec  67.5 MBytes   563 Mbits/sec    0    724 KBytes       
Client on 192.168.2.10:  [  4]  65.02-66.02  sec  67.5 MBytes   566 Mbits/sec    0    724 KBytes       
Client on 192.168.2.10:  [  4]  66.02-67.00  sec  67.5 MBytes   575 Mbits/sec    0    724 KBytes       
Client on 192.168.2.10:  [  4]  67.00-68.01  sec  73.9 MBytes   614 Mbits/sec   36    725 KBytes       
Client on 192.168.2.10:  [  4]  68.01-69.01  sec  68.5 MBytes   576 Mbits/sec    0    743 KBytes       
Client on 192.168.2.10:  [  4]  69.01-70.01  sec  68.8 MBytes   578 Mbits/sec    0    748 KBytes       
Client on 192.168.2.10:  [  4]  70.01-71.01  sec  68.8 MBytes   573 Mbits/sec    0    748 KBytes       
Client on 192.168.2.10:  [  4]  71.01-72.01  sec  68.3 MBytes   572 Mbits/sec  104    751 KBytes       
Client on 192.168.2.10:  [  4]  72.01-73.00  sec  68.8 MBytes   583 Mbits/sec  149    561 KBytes       
Client on 192.168.2.10:  [  4]  73.00-74.00  sec  70.0 MBytes   588 Mbits/sec   30    634 KBytes       
Client on 192.168.2.10:  [  4]  74.00-75.01  sec  68.8 MBytes   573 Mbits/sec    0    634 KBytes       
Client on 192.168.2.10:  [  4]  75.01-76.02  sec  67.1 MBytes   559 Mbits/sec    0    641 KBytes       
Client on 192.168.2.10:  [  4]  76.02-77.00  sec  66.2 MBytes   564 Mbits/sec    0    641 KBytes       
Client on 192.168.2.10:  [  4]  77.00-78.01  sec  70.0 MBytes   584 Mbits/sec   12    664 KBytes       
Client on 192.168.2.10:  [  4]  78.01-79.00  sec  72.8 MBytes   616 Mbits/sec   36    488 KBytes       
Client on 192.168.2.10:  [  4]  79.00-80.00  sec  72.4 MBytes   607 Mbits/sec    0    556 KBytes       
Client on 192.168.2.10:  [  4]  80.00-81.01  sec  69.2 MBytes   575 Mbits/sec    0    579 KBytes       
Client on 192.168.2.10:  [  4]  81.01-82.00  sec  72.6 MBytes   615 Mbits/sec    7    626 KBytes       
Client on 192.168.2.10:  [  4]  82.00-83.02  sec  68.8 MBytes   569 Mbits/sec   35    519 KBytes       
Client on 192.168.2.10:  [  4]  83.02-84.00  sec  69.6 MBytes   591 Mbits/sec    0    538 KBytes       
Client on 192.168.2.10:  [  4]  84.00-85.01  sec  69.1 MBytes   579 Mbits/sec    0    552 KBytes       
Client on 192.168.2.10:  [  4]  85.01-86.00  sec  73.2 MBytes   617 Mbits/sec  233    427 KBytes       
Client on 192.168.2.10:  [  4]  86.00-87.01  sec  67.1 MBytes   558 Mbits/sec    0    442 KBytes       
Client on 192.168.2.10:  [  4]  87.01-88.02  sec  72.4 MBytes   603 Mbits/sec    0    502 KBytes       
Client on 192.168.2.10:  [  4]  88.02-89.02  sec  69.5 MBytes   582 Mbits/sec    0    530 KBytes       
Client on 192.168.2.10:  [  4]  89.02-90.00  sec  68.4 MBytes   584 Mbits/sec    0    537 KBytes       
Client on 192.168.2.10:  [  4]  90.00-91.01  sec  70.1 MBytes   582 Mbits/sec    0    565 KBytes       
Client on 192.168.2.10:  [  4]  91.01-92.00  sec  69.8 MBytes   590 Mbits/sec    0    577 KBytes       
Client on 192.168.2.10:  [  4]  92.00-93.02  sec  71.5 MBytes   591 Mbits/sec    0    610 KBytes       
Client on 192.168.2.10:  [  4]  93.02-94.00  sec  68.7 MBytes   586 Mbits/sec    0    699 KBytes       
Client on 192.168.2.10:  [  4]  94.00-95.00  sec  67.3 MBytes   565 Mbits/sec    0    709 KBytes       
Client on 192.168.2.10:  [  4]  95.00-96.02  sec  62.5 MBytes   516 Mbits/sec    0    709 KBytes       
Client on 192.168.2.10:  [  4]  96.02-97.00  sec  67.4 MBytes   574 Mbits/sec    0   1.02 MBytes       
Client on 192.168.2.10:  [  4]  97.00-98.01  sec  67.5 MBytes   564 Mbits/sec   96   1.33 MBytes       
Client on 192.168.2.10:  [  4]  98.01-99.02  sec  76.2 MBytes   631 Mbits/sec   12   1.34 MBytes       
Client on 192.168.2.10:  [  4]  99.02-100.00 sec  66.2 MBytes   564 Mbits/sec    0   1.34 MBytes       
Client on 192.168.2.10:  - - - - - - - - - - - - - - - - - - - - - - - - -
