vagrant@node1:~$ mpstat 2 10000
Linux 4.15.0-101-generic (node1) 	06/03/2020 	_x86_64_	(2 CPU)

03:22:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:24:10 AM  all    1.05    0.00    3.41    0.00    0.00   51.71    0.00    0.00    0.00   43.83
03:24:12 AM  all    1.76    0.00    1.26    0.00    0.00    6.28    0.00    0.00    0.00   90.70
03:24:14 AM  all    1.01    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.49
03:24:16 AM  all    0.51    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.24
03:24:18 AM  all    3.04    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   94.94

03:24:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:24:20 AM  all    0.25    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.25
03:24:22 AM  all    1.26    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.74
03:24:24 AM  all    0.75    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.49
03:24:26 AM  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
03:24:28 AM  all    3.49    0.00    3.24    0.00    0.00    0.25    0.00    0.00    0.00   93.02
03:24:30 AM  all    1.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.75
03:24:32 AM  all    1.50    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.49
03:24:34 AM  all    1.01    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.49
03:24:36 AM  all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:24:38 AM  all    3.53    0.00    2.02    0.00    0.00    0.25    0.00    0.00    0.00   94.21
03:24:40 AM  all    0.25    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.25
03:24:42 AM  all    1.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.99
03:24:44 AM  all    0.25    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:24:46 AM  all    0.50    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.24
03:24:48 AM  all    4.52    0.00    2.01    0.00    0.00    0.25    0.00    0.00    0.00   93.22
03:24:50 AM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
03:24:52 AM  all    1.00    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   98.00
03:24:54 AM  all    1.26    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.99
03:24:56 AM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
03:24:58 AM  all    3.29    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   94.43
03:25:00 AM  all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:25:02 AM  all    1.01    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.24
03:25:04 AM  all    1.51    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.99
03:25:06 AM  all    0.75    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   98.99
03:25:08 AM  all    2.80    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.17
03:25:10 AM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
03:25:12 AM  all    0.50    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   98.25
03:25:14 AM  all    1.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.75
03:25:16 AM  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
03:25:18 AM  all    2.78    0.00    2.28    0.00    0.00    0.25    0.00    0.00    0.00   94.68
03:25:20 AM  all    0.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:25:22 AM  all    0.51    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   98.48

03:25:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:25:24 AM  all    0.75    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.49
03:25:26 AM  all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:25:28 AM  all    3.31    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.66
03:25:31 AM  all    0.25    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.25
03:25:33 AM  all    0.51    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.74
03:25:35 AM  all    1.01    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.24
03:25:37 AM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
03:25:39 AM  all    3.27    0.00    2.51    0.00    0.00    0.25    0.00    0.00    0.00   93.97
03:25:41 AM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
03:25:43 AM  all    0.75    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   97.99
03:25:45 AM  all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:25:47 AM  all    0.50    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.00
03:25:49 AM  all    4.28    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   93.95
03:25:51 AM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
03:25:53 AM  all    0.25    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   98.23
03:25:55 AM  all    1.76    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   96.98
03:25:57 AM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.24
03:25:59 AM  all    3.55    0.00    3.30    0.00    0.00    0.00    0.00    0.00    0.00   93.15
03:26:01 AM  all    0.76    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.74
03:26:03 AM  all    1.26    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   97.98
03:26:05 AM  all    1.01    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.99
03:26:07 AM  all    0.50    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.99
03:26:09 AM  all    4.03    0.00    3.53    0.00    0.00    0.25    0.00    0.00    0.00   92.19
03:26:11 AM  all    0.76    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:26:13 AM  all    1.01    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.48
03:26:15 AM  all    1.52    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   97.98
03:26:17 AM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
03:26:19 AM  all    4.29    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.68
03:26:21 AM  all    1.01    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.74
03:26:23 AM  all    1.01    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   97.73
03:26:25 AM  all    1.01    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.24
03:26:27 AM  all    0.51    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.99

03:26:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:26:29 AM  all    5.05    0.00    3.03    0.00    0.00    0.25    0.00    0.00    0.00   91.67
03:26:31 AM  all    0.25    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   98.99
