Linux 4.15.0-101-generic (node2) 	06/03/2020 	_x86_64_	(2 CPU)

05:43:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:44:01 AM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
05:44:03 AM  all    1.75    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   96.74
05:44:05 AM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
05:44:07 AM  all    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.01
05:44:09 AM  all    1.99    0.00    1.24    0.00    0.00    0.25    0.00    0.00    0.00   96.52
05:44:11 AM  all    1.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.25
05:44:13 AM  all    1.01    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   97.74
05:44:15 AM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
05:44:17 AM  all    1.50    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:44:19 AM  all   13.42    0.00   11.65    5.06    0.00    0.76    0.00    0.00    0.00   69.11
05:44:21 AM  all    4.10    0.00    3.08    0.00    0.00    1.54    0.00    0.00    0.00   91.28
05:44:23 AM  all   24.09    0.00   12.95    0.00    0.00    4.15    0.00    0.00    0.00   58.81
05:44:25 AM  all   40.15    0.00   37.41    0.00    0.00    0.50    0.00    0.00    0.00   21.95
05:44:27 AM  all   20.81    0.00   23.10    5.58    0.00    1.78    0.00    0.00    0.00   48.73
05:44:29 AM  all    5.38    0.00    4.62    1.28    0.00    0.26    0.00    0.00    0.00   88.46
05:44:31 AM  all    0.25    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.99
05:44:33 AM  all    1.01    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.24
05:44:35 AM  all    2.00    0.00    1.75    0.00    0.00    0.50    0.00    0.00    0.00   95.76
05:44:37 AM  all    2.51    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   95.49
05:44:39 AM  all    2.53    0.00   11.65    0.00    0.00    8.10    0.00    0.00    0.00   77.72
05:44:41 AM  all    4.23    0.00   48.94    0.00    0.00   43.12    0.00    0.00    0.00    3.70
05:44:43 AM  all    5.18    0.00   51.30    0.00    0.00   40.67    0.00    0.00    0.00    2.85
05:44:45 AM  all    5.97    0.00   51.95    0.00    0.00   40.26    0.00    0.00    0.00    1.82
05:44:47 AM  all    6.56    0.00   51.97    0.00    0.00   38.32    0.00    0.00    0.00    3.15
05:44:49 AM  all    6.58    0.00   51.58    0.00    0.00   38.16    0.00    0.00    0.00    3.68
05:44:51 AM  all    4.75    0.00   50.66    0.00    0.00   42.22    0.00    0.00    0.00    2.37
05:44:53 AM  all    5.77    0.00   51.18    0.00    0.00   39.90    0.00    0.00    0.00    3.15
05:44:55 AM  all    4.58    0.00   52.16    0.00    0.00   40.71    0.00    0.00    0.00    2.54
05:44:57 AM  all    4.02    0.00   51.26    0.00    0.00   40.45    0.00    0.00    0.00    4.27
05:44:59 AM  all    5.57    0.00   46.33    0.00    0.00   43.54    0.00    0.00    0.00    4.56
05:45:01 AM  all    4.76    0.00   52.63    0.00    0.00   40.60    0.00    0.00    0.00    2.01
05:45:03 AM  all    4.80    0.00   51.52    0.00    0.00   39.65    0.00    0.00    0.00    4.04
05:45:05 AM  all    5.49    0.00   51.37    0.00    0.00   40.90    0.00    0.00    0.00    2.24
05:45:07 AM  all    4.58    0.00   50.13    0.00    0.00   41.73    0.00    0.00    0.00    3.56
05:45:09 AM  all    6.92    0.00   48.72    0.00    0.00   41.54    0.00    0.00    0.00    2.82
05:45:11 AM  all    3.43    0.00   49.08    0.00    0.00   45.12    0.00    0.00    0.00    2.37
05:45:13 AM  all    4.21    0.00   48.16    0.00    0.00   43.68    0.00    0.00    0.00    3.95
05:45:15 AM  all    6.38    0.00   48.14    0.00    0.00   42.29    0.00    0.00    0.00    3.19
05:45:17 AM  all    4.76    0.00   49.47    0.00    0.00   40.74    0.00    0.00    0.00    5.03
05:45:19 AM  all    5.56    0.00   51.85    0.00    0.00   38.10    0.00    0.00    0.00    4.50
05:45:21 AM  all    5.01    0.00   48.55    0.00    0.00   43.80    0.00    0.00    0.00    2.64
05:45:23 AM  all    4.75    0.00   49.60    0.00    0.00   41.42    0.00    0.00    0.00    4.22
05:45:25 AM  all    5.22    0.00   49.87    0.00    0.00   41.51    0.00    0.00    0.00    3.39
05:45:27 AM  all    7.16    0.00   48.85    0.00    0.00   39.64    0.00    0.00    0.00    4.35
05:45:29 AM  all    4.59    0.00   54.85    0.00    0.00   38.01    0.00    0.00    0.00    2.55
05:45:31 AM  all    4.50    0.00   50.25    0.00    0.00   43.75    0.00    0.00    0.00    1.50
05:45:33 AM  all    4.75    0.00   54.00    0.00    0.00   39.25    0.00    0.00    0.00    2.00
05:45:35 AM  all    5.29    0.00   51.13    0.00    0.00   40.55    0.00    0.00    0.00    3.02
05:45:37 AM  all    5.78    0.00   51.76    0.00    0.00   38.69    0.00    0.00    0.00    3.77
05:45:39 AM  all    5.26    0.00   53.38    0.00    0.00   37.59    0.00    0.00    0.00    3.76
05:45:41 AM  all    5.57    0.00   51.65    0.00    0.00   41.01    0.00    0.00    0.00    1.77
05:45:43 AM  all    5.63    0.00   48.85    0.00    0.00   41.94    0.00    0.00    0.00    3.58
05:45:45 AM  all    4.76    0.00   50.00    0.00    0.00   43.12    0.00    0.00    0.00    2.12
05:45:47 AM  all    7.37    0.00   48.68    0.00    0.00   40.26    0.00    0.00    0.00    3.68
05:45:49 AM  all    5.33    0.00   45.33    0.00    0.00   45.33    0.00    0.00    0.00    4.00
05:45:51 AM  all    5.48    0.00   47.52    0.00    0.00   45.43    0.00    0.00    0.00    1.57
05:45:53 AM  all    5.00    0.00   48.42    0.00    0.00   44.21    0.00    0.00    0.00    2.37
05:45:55 AM  all    5.77    0.00   49.34    0.00    0.00   43.04    0.00    0.00    0.00    1.84
05:45:57 AM  all    5.82    0.00   48.68    0.00    0.00   41.80    0.00    0.00    0.00    3.70
05:45:59 AM  all    7.18    0.00   50.00    0.00    0.00   38.97    0.00    0.00    0.00    3.85
05:46:01 AM  all    4.07    0.00   52.67    0.00    0.00   41.48    0.00    0.00    0.00    1.78
05:46:03 AM  all    5.78    0.00   54.02    0.00    0.00   37.19    0.00    0.00    0.00    3.02
05:46:05 AM  all    4.02    0.00   54.02    0.00    0.00   39.20    0.00    0.00    0.00    2.76
05:46:07 AM  all    5.30    0.00   51.77    0.00    0.00   40.40    0.00    0.00    0.00    2.53
