Linux 5.4.0-33-generic (node2) 	06/03/2020 	_x86_64_	(2 CPU)

09:50:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:50:44 PM  all    0.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.75
09:50:46 PM  all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:50:48 PM  all   11.96    0.00   10.69    0.00    0.00    0.76    0.00    0.00    0.00   76.59
09:50:50 PM  all    3.03    0.00    4.55    0.25    0.00    0.51    0.00    0.00    0.00   91.67
09:50:52 PM  all    2.26    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   96.49
09:50:54 PM  all    1.01    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.49
09:50:56 PM  all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:50:58 PM  all    4.59    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.37
09:51:00 PM  all    1.01    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   97.49
09:51:02 PM  all    1.26    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   96.98
09:51:04 PM  all    0.51    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:51:06 PM  all    0.50    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   98.49
09:51:08 PM  all    3.28    0.00    3.28    0.00    0.00    0.00    0.00    0.00    0.00   93.43
09:51:10 PM  all    1.77    0.00    1.27    0.00    0.00    0.25    0.00    0.00    0.00   96.71
09:51:12 PM  all    0.76    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.23
09:51:14 PM  all    0.51    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.24
09:51:16 PM  all    1.01    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   98.23
09:51:18 PM  all    4.05    0.00    2.78    0.00    0.00    0.51    0.00    0.00    0.00   92.66
09:51:20 PM  all    1.51    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   96.98
09:51:22 PM  all    1.52    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   97.47
09:51:24 PM  all    0.25    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.24
09:51:26 PM  all    0.76    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.48
09:51:28 PM  all    2.78    0.00    3.28    0.00    0.00    0.25    0.00    0.00    0.00   93.69
